Titles,Company,Category,Location,Benefits,Highlights,Opportunities,Posted_Date,Link,page_id
KEY ACCOUNT EXECUTIVE (EVENT & MEDIA),"Zurich Marketing Co., Ltd","Marketing, Media, Creative",Yangon,Benefits: Bonus Entitlement  Promotion Opportunities,Highlights:Join an experienced team,Career Opportunities: Promotion Opportunities,20 Feb 2024,https://www.jobnet.com.mm/job/key-account-executive-event-and-media-zurich-marketing-co-ltd/96228,17
Trade Marketing Executive (Onepay),AGD Bank,"Marketing, Media, Creative",Yangon,Benefits: Provide transportation,Highlights:Make a difference,Career Opportunities: Promotion Opportunities,20 Feb 2024,https://www.jobnet.com.mm/job/trade-marketing-executive-onepay-agd-bank/96226,17
"Transaction Monitoring Asst Manager, Onepay",AGD Bank,"Project, Operations Management",Yangon,Benefits: Provide Transportation,Highlights:Make a difference,Career Opportunities: Learn new skills on the job,20 Feb 2024,https://www.jobnet.com.mm/job/transaction-monitoring-asst-manager-onepay-agd-bank/96222,17
Student Recruitment Coordinator (Sales),Seezar Soesan Group of Companies,"Sales, Business Development",Yangon,Benefits: Meal Allowance Sales Target Bonus,Highlights:Fun Working Environment Work with experienced team Make a different,Career Opportunities: Learning new skills Training provided Career Development,20 Feb 2024,https://www.jobnet.com.mm/job/student-recruitment-coordinator-sales-seezar-soesan-group-of-companies/92474,17
Marketing Executive,R.Oasis Limited,"Marketing, Media, Creative",Yangon,Benefits: Performance Bonus,Highlights:Creative working environment Join the wining team  Place to explore your talent,Career Opportunities: Promotion Opportunities High Experience Exposure,20 Feb 2024,https://www.jobnet.com.mm/job/marketing-executive-roasis-limited/90843,17
Sales Executive,Phee Group Of Companies,"Sales, Business Development",Yangon,Benefits: Bonus+ Commission,Highlights:International Standard,Career Opportunities: Training Provided,20 Feb 2024,https://www.jobnet.com.mm/job/sales-executive-phee-group-of-companies/93934,17
Auditor,R.Oasis Limited,"Finance, Accounting, Audit",Yangon,Benefits: Bonus  Rewards over performance,Highlights:Challenges for great experiences  Fun environment,Career Opportunities: Learn new skills on job  Promotion opportunity,20 Feb 2024,https://www.jobnet.com.mm/job/auditor-roasis-limited/95925,17
IT Support Executive,British University College,"IT Hardware, Software",Yangon,Benefits: - Rewards over performance,Highlights:Fun working environment International Standard,Career Opportunities: Promotion opportunity Chance to learn new skill in job,20 Feb 2024,https://www.jobnet.com.mm/job/it-support-executive-british-university-college/96219,17
Digital Marketing Specialist,Rohto-Mentholatum,"Marketing, Media, Creative",Yangon,Benefits: 1.	Ferry 2.	Bonus 3.	Allowance 4.	CB Insurance 5.	Overtime Payment,Highlights:1.	Fun working environment 2.	International Standards 3.	Make a difference 4.	Join an Experienced team,Career Opportunities: 1.	Training Provided 2.	Learn new skill on the job 3.	Promotion Opportunities 4.	Management Potential,20 Feb 2024,https://www.jobnet.com.mm/job/digital-marketing-specialist-rohto-mentholatum/94092,17
Senior QA Automation Engineer,"AdventSoft Co., Ltd.","IT Hardware, Software",Yangon,"Benefits: -Attractive Salary Package -Yearly Salary Review -Flexible Working Hour -Snack, Drink, Pantry, Tea Break -Monthly Team Activities -Yearly Company",Highlights:- Join technically strong development teams - Work for leading companies from Singapore - Gain foreign project experience - Fun working environment,Career Opportunities: - Wide business domain knowledge - Deep technical knowledge and expertise - Learn latest trends and technologies - Continuous learning opportunitie,20 Feb 2024,https://www.jobnet.com.mm/job/senior-qa-automation-engineer-adventsoft-co-ltd/95006,17
Senior Software Engineer (.NET),"AdventSoft Co., Ltd.","IT Hardware, Software",Yangon,"Benefits: -Attractive Salary Package -Yearly Salary Review -Flexible Working Hour -Snack, Drink, Pantry, Tea Break -Monthly Team Activities -Yearly Company",Highlights:- Join technically strong development teams - Work for leading companies from Singapore - Gain foreign project experience - Fun working environment,Career Opportunities: - Wide business domain knowledge - Deep technical knowledge and expertise - Learn latest trends and technologies - Continuous learning opportunitie,20 Feb 2024,https://www.jobnet.com.mm/job/senior-software-engineer-net-adventsoft-co-ltd/94517,17
