Titles,Company,Category,Location,Benefits,Highlights,Opportunities,Posted_Date,Link,page_id
Talent Developer / Sales Trainer (Mawlamyine),Dai-ichi Life Insurance Myanmar Ltd.,"HR, Training and Recruitment",Mon State.,Benefits: Rewards on performance,Highlights:You can make a difference,Career Opportunities: Opportunities for promotion,20 Jan 2025,https://www.jobnet.com.mm/job/talent-developer-sales-trainer-mawlamyine-dai-ichi-life-insurance-myanmar-ltd/109049,1
HR Executive,JobNet Myanmar (HR),"HR, Training and Recruitment",Yangon.,Benefits: Rewards for over performance,Highlights:Fun Working Environment International Standards,Career Opportunities: Training provided,14 Jan 2025,https://www.jobnet.com.mm/job/hr-executive-jobnet-myanmar-hr/109575,1
ASP.Net Developer,Mahar Bawga Group of Companies,"IT Hardware, Software",Yangon,Benefits: Attendance Bonus Performance Bonus,Highlights:Make a different,Career Opportunities: Promotion opportinity,Today,https://www.jobnet.com.mm/job/aspnet-developer-mahar-bawga-group-of-companies/110761,1
Javascript Developer,Mahar Bawga Group of Companies,"IT Hardware, Software",Yangon,Benefits: Attendance Bonus Performance Bonus (2 times per year),Highlights:Make a different,Career Opportunities: Promotion Opportunity Oversea Branch Opportunity,Today,https://www.jobnet.com.mm/job/javascript-developer-mahar-bawga-group-of-companies/110760,1
Logsitics & Transport Assistant,"Focus Star Co.,Ltd","Logistics, Warehousing, Port",Yangon,Benefits: - Ferry near pick up point - Uniform,Highlights:-Fun working environment,Career Opportunities: -Learn new skills on jobs -Promotion opportunities,Today,https://www.jobnet.com.mm/job/logsitics-and-transport-assistant-focus-star-co-ltd/110759,1
RQC Specialist,HEINEKEN Myanmar Limited,"Customer Service, Support",Yangon,Benefits: * Health Insurance * Group Life Insurance * Short-Term Incentive Plan * Transportation Allowance,Highlights:* Fun working environment * International standard working environment & culture * Sat/Sun Off * Brew a better world,"Career Opportunities: * Personal Development Plan * Develop Leadership Skills with high professional mentors, managers, and coaches * Ongoing Training & Development Plan",11 Feb 2025,https://www.jobnet.com.mm/job/rqc-specialist-heineken-myanmar-limited/110758,1
Nutrition Advisor,DKSH ( Myanmar ) Ltd,"Medical, Nursing, Pharmacy",Yangon,Benefits: According to the company policy,Highlights:Join a winning team,Career Opportunities: Opportunities for promotion,11 Feb 2025,https://www.jobnet.com.mm/job/nutrition-advisor-dksh-myanmar-ltd/110757,2
Center Sales Manager,Wall Street English Myanmar,"Sales, Business Development",Yangon,Benefits: -Bonus + Commission  -Overtime Payment  -Rewards for over Performance,Highlights:-Fun Working environment  -International Standards  -Make a difference  -Join an experience team,Career Opportunities: -Training provided  -Learn new skills on the job  -Promotion opportunities  -Management potential,11 Feb 2025,https://www.jobnet.com.mm/job/center-sales-manager-wall-street-english-myanmar/110756,2
Import & Export Officer,"Royal Alpha Co.,Ltd","Logistics, Warehousing, Port",Yangon,Benefits: -Yearly Bonus -Yearly Increment  -Annual Trip -Transportation Allowance -Meal Allowance -Phone Bill Allowance,"Highlights:-Diploma in Logistics, Supply Chain Management, or a related field.  -Minimum 2-3 years of experience in export & import and border trade channels.",Career Opportunities: -Promotion -Training Provide -Salary Increment,11 Feb 2025,https://www.jobnet.com.mm/job/import-and-export-officer-royal-alpha-co-ltd/110755,2
Head Of Production,Coca-Cola Pinya Beverages Myanmar,"Manufacturing, Factory",Yangon,Benefits: Transportation Provided Lunch Provided,Highlights:An awesome company,Career Opportunities: Learn new skills and techniques,11 Feb 2025,https://www.jobnet.com.mm/job/head-of-production-coca-cola-pinya-beverages-myanmar/110754,2
Junior Tax Accountant,"Regency Material Trading Co.,Ltd","Finance, Accounting, Audit",Yangon,Benefits: Competitive Salary based on experience,Highlights:Make a difference Join an experienced team,Career Opportunities: Promotion Opportunities,11 Feb 2025,https://www.jobnet.com.mm/job/junior-tax-accountant-regency-material-trading-co-ltd/110753,2
Content Writer,Myanmar Information Technology Pte. Ltd. (MIT),"Marketing, Media, Creative",Yangon,Benefits: * Ferry Provided * Rewards for over performance,Highlights:* Fun working environment * International standard * Join and experienced Team,Career Opportunities: * Opportunities for promotion * Possibility for job training * Learn new skills and technology,11 Feb 2025,https://www.jobnet.com.mm/job/content-writer-myanmar-information-technology-pte-ltd-mit/109521,2
Financial Advisor,Dai-ichi Life Insurance Myanmar Ltd.,"Sales, Business Development",Yangon,Benefits: - Bonus + Commissions - Rewards on performance,Highlights:- An awesome company - Join a winning team - You can make a difference,Career Opportunities: - Opportunities for promotion - Possibility for job training - Learn new skills and techniques,11 Feb 2025,https://www.jobnet.com.mm/job/financial-advisor-dai-ichi-life-insurance-myanmar-ltd/110078,2
Head Of Quantity Surveying (QS),Ayeyar Hinthar Holdings Company Limited,"Engineering, Technical, HSE",Yangon,"Benefits: Saturday, Sunday, and Gazette Holidays Off  Lunch Subsidized Ferry Provided (Depending on ferry way)  Annual Bonus",Highlights:Join an experienced team,Career Opportunities: Learn new skills on the job,11 Feb 2025,https://www.jobnet.com.mm/job/head-of-quantity-surveying-qs-ayeyar-hinthar-holdings-company-limited/110182,2
Production Planner,Industry Leading Company,"Manufacturing, Factory",Yangon,Benefits: -,Highlights:-,Career Opportunities: -,11 Feb 2025,https://www.jobnet.com.mm/job/production-planner/110752,2
Junior Auditor,"Regency Material Trading Co.,Ltd","Finance, Accounting, Audit",Yangon,Benefits: Competitive Salary based on experience,Highlights:Make a difference Join an experienced team,Career Opportunities: Promotion Opportunities,11 Feb 2025,https://www.jobnet.com.mm/job/junior-auditor-regency-material-trading-co-ltd/110751,2
Assistant Head Of Administration,"Good Brothers Co.,Ltd",Administrative,Yangon,Benefits: -Phone Bill Allowance -Office Hostel Provide -Lunch Provided,Highlights:Join a winning team,Career Opportunities: -Training Provided,11 Feb 2025,https://www.jobnet.com.mm/job/assistant-head-of-administration-good-brothers-co-ltd/108933,2
ERP Consultant,"Ace Data Systems Co.,Ltd","IT Hardware, Software",Yangon,Benefits: *Certificate Allowance *Saving Allowance *Services Allowance,Highlights:International Standards Join an experienced team,Career Opportunities: Training provided  Learn new skills on the job  Promotion opportunities Management potential,11 Feb 2025,https://www.jobnet.com.mm/job/erp-consultant-ace-data-systems-co-ltd/110351,2
Admin Executive,United Chan Thar,Administrative,Yangon,Benefits: * Ferry provided.,Highlights:* Good working environment,Career Opportunities: Learn new skills and techniques,11 Feb 2025,https://www.jobnet.com.mm/job/admin-executive-united-chan-thar/110750,2
Sales Engineer,"Aung Thet Tun Electrical & Machinery Trading Co.,L","Sales, Business Development",Yangon,Benefits: Reward for over performance Overtime payment,Highlights:International Standard Make Difference,Career Opportunities: Training Provided Management Potential,11 Feb 2025,https://www.jobnet.com.mm/job/sales-engineer-aung-thet-tun-electrical-and-machinery-trading-co-l/110749,2
Social Media Marketing,Industry Leading Company,"Marketing, Media, Creative",Yangon,"Benefits: Competitive Salary, based on experience.",Highlights:Fun Working Environment  Make a difference Join an experienced team,Career Opportunities: Promotion Opportunities,11 Feb 2025,https://www.jobnet.com.mm/job/social-media-marketing/110748,2
Junior Accountant,Industry Leading Company,"Finance, Accounting, Audit",Yangon,Benefits: Competitive Salary based on experience,Highlights:Fun Working Environment  Make a difference Join an experienced team,Career Opportunities: Promotion Opportunities,11 Feb 2025,https://www.jobnet.com.mm/job/junior-accountant/110744,2
Senior Mobile Engineer (React Native),Wave Money,"IT Hardware, Software",Yangon,Benefits: - Leave  - Healthcare Perks  - Transportation  - Year-End Rewards  - Phone Bill Allowance,Highlights:- Innovation-Driven Environment  - Vibrant Workspace  - Team Activities,Career Opportunities: - Growing organization - Develop your career,11 Feb 2025,https://www.jobnet.com.mm/job/senior-mobile-engineer-react-native-wave-money/110741,2
Business Development&Airline Relationship Manager,Flymya,"Sales, Business Development",Yangon,Benefits: * Bonus * Lunch & Ferry provided,"Highlights:* Fun and flexible working environment  * Commitment to diversity, equity, and inclusion * Support work-life balance",Career Opportunities: * Training provided  * Promotion opportunities  * Opportunities for professional development and career progression,11 Feb 2025,https://www.jobnet.com.mm/job/business-developmentandairline-relationship-manager-flymya/110740,2
Data Analyst & Business Intelligence Lead,Myanmar Oriental Bank (MOB Bank),"Sales, Business Development",Yangon,Benefits: •	Competitive salary and leadership growth opportunities.,Highlights:An awesome company,Career Opportunities: • Be a founding leader of MOB’s Business Intelligence Unit. •Work on cutting-edge data projects for Myanmar’s banking and fintech industry.,11 Feb 2025,https://www.jobnet.com.mm/job/data-analyst-and-business-intelligence-lead-myanmar-oriental-bank-mob-bank/110739,2
Project Administrator,Grand Royal Group International,Administrative,Yangon,Benefits: Rewards for over performance,Highlights:An awesome company,Career Opportunities: Opportunities for promotion,11 Feb 2025,https://www.jobnet.com.mm/job/project-administrator-grand-royal-group-international/110738,2
"Officer - Policy, Risk Appetite And Culture",Yoma Bank,"Legal, Risk and Compliance",Yangon,Benefits: • Ferry Provided • Mobile Phone Allowance • Life Insurance • Limited Medical Cover,Highlights:• Empowered Working Environment • Diverse Team,Career Opportunities: • Learning and Development Platform • Opportunities to Explore Multiple Career Paths,11 Feb 2025,https://www.jobnet.com.mm/job/officer-policy-risk-appetite-and-culture-yoma-bank/110737,2
Senior MEP Engineer,Grand Royal Group International,"Engineering, Technical, HSE",Yangon,Benefits: Rewards for over performance,Highlights:Join a winning team,Career Opportunities: Possibility for job training,11 Feb 2025,https://www.jobnet.com.mm/job/senior-mep-engineer-grand-royal-group-international/110735,2
Technical Support Engineer,"Myanmar Golden Rock International Co., Ltd","IT Hardware, Software",Yangon,Benefits: -Ferry Provided,Highlights:Training provided learn new skills on the job,Career Opportunities: Possibility for job training,11 Feb 2025,https://www.jobnet.com.mm/job/technical-support-engineer-myanmar-golden-rock-international-co-ltd/98629,2
Sales Executive (Trade Finance),KBZ Bank,"Sales, Business Development",Yangon,Benefits: Ferry (Specific Area) Uniform Health Insurance Quarterly Bonus,Highlights:An inclusive workplace that values diversity and teamwork Leading Bank in Myanmar,Career Opportunities: Opportunities for promotion,11 Feb 2025,https://www.jobnet.com.mm/job/sales-executive-trade-finance-kbz-bank/107881,2
Power Platform Developer,Dai-ichi Life Insurance Myanmar Ltd.,"IT Hardware, Software",Yangon,Benefits: - Rewards on performance,Highlights:- An awesome company - Join a winning team - You can make a difference,Career Opportunities: - Opportunities for promotion - Learn new skills and techniques,11 Feb 2025,https://www.jobnet.com.mm/job/power-platform-developer-dai-ichi-life-insurance-myanmar-ltd/110731,2
Admin Executive,Myanmar Starlit International Company Limited,Administrative,Mandalay,Benefits: Reward for over performance,Highlights:Fun Working environment  * Make a difference * Join an experienced team,Career Opportunities: Training provided  * learn new skills on the job,11 Feb 2025,https://www.jobnet.com.mm/job/admin-executive-myanmar-starlit-international-company-limited/110730,2
Product Executive,"Grace Win Co.,Ltd","Medical, Nursing, Pharmacy",Yangon,Benefits: -,Highlights:-,Career Opportunities: -,11 Feb 2025,https://www.jobnet.com.mm/job/product-executive-grace-win-co-ltd/109578,2
Junior/Senior Relationship Manager/Sales Team Lead,TradeWill Global LLC,"Sales, Business Development",Yangon,Benefits: Remote job and work from home. Competitive salary and commission structure. Opportunity to work in a fast-paced and dynamic environment.,Highlights:Professional development and growth opportunities working in different countries and multi-cultural team. Comprehensive benefits package.,Career Opportunities: Support the strong sales team established. Relocation Assistance to Thailand or Dubai United Arab Emirates. Tax-Free Income.,11 Feb 2025,https://www.jobnet.com.mm/job/junior-senior-relationship-manager-sales-team-lead-tradewill-global-llc/107934,2
Junior/Senior Relationship Manager/Sales Team Lead,TradeWill Global LLC,"Sales, Business Development",Mandalay,Benefits: Remote job and work from home. Competitive salary and commission structure. Opportunity to work in a fast-paced and dynamic environment.,Highlights:Professional development and growth opportunities working in different countries and multi-cultural team. Comprehensive benefits package.,Career Opportunities: Support the strong sales team established. Relocation Assistance to Thailand or Dubai United Arab Emirates. Tax-Free Income.,11 Feb 2025,https://www.jobnet.com.mm/job/junior-senior-relationship-manager-sales-team-lead-tradewill-global-llc/107937,2
Senior/ Junior Relationship Manager/ Sale TL,TradeWill Global LLC,"Sales, Business Development",Yangon,Benefits: : Remote Job  : Salary + + : Work From Home,Highlights:: International Standard  : Fun Work Environment  : For Yangon/ Mandalay Market,Career Opportunities: Opportunities for promotion,11 Feb 2025,https://www.jobnet.com.mm/job/senior-junior-relationship-manager-sale-tl-tradewill-global-llc/108369,2
Assistant Technical Instructor,"TTAS (Toyota Aye & Sons) Co.,Ltd","Engineering, Technical, HSE",Yangon,Benefits: - Bonus - Overtime Payment - Uniform - Transportation Arrangement,Highlights:Join a winning team,Career Opportunities: Opportunities for promotion,11 Feb 2025,https://www.jobnet.com.mm/job/assistant-technical-instructor-ttas-toyota-aye-and-sons-co-ltd/92354,3
Property Sales & Rentals Manager,"Salomon Myanmar Co.,Ltd","Sales, Business Development",Yangon,Benefits: Commission,Highlights:Fun Working Environment,Career Opportunities: Management Potential,11 Feb 2025,https://www.jobnet.com.mm/job/property-sales-and-rentals-manager-salomon-myanmar-co-ltd/110725,3
Customer Success Executive- Recruitment,JobNet Myanmar (HR),"HR, Training and Recruitment",Yangon,Benefits: *Rewards for over performance,Highlights:*International Standard,Career Opportunities: Learn New skills on Job,11 Feb 2025,https://www.jobnet.com.mm/job/customer-success-executive-recruitment-jobnet-myanmar-hr/110724,3
Foreign Remittance Executive (Trade Finance),KBZ Bank,"Finance, Accounting, Audit",Yangon,"Benefits: Ferry (Specific Area, Pick-up Point) Uniform Health Insurance Quarterly Bonus",Highlights:An inclusive workplace that values diversity and teamwork Leading Bank in Myanmar,Career Opportunities: Opportunities for promotion,11 Feb 2025,https://www.jobnet.com.mm/job/foreign-remittance-executive-trade-finance-kbz-bank/110723,3
Service Technician,"TTAS (Toyota Aye & Sons) Co.,Ltd","Engineering, Technical, HSE",Yangon,Benefits: - Bonus - Overtime Payment - Transportation Arrangement - Uniform,Highlights:You can make a difference,Career Opportunities: - Training Provided - Promotion Opportunities,11 Feb 2025,https://www.jobnet.com.mm/job/service-technician-ttas-toyota-aye-and-sons-co-ltd/108170,3
M&E Engineer -Retail Petrol Station,Leading Group of Companies,"Engineering, Technical, HSE",Yangon,Benefits: Transportation Rewards over performance,Highlights:Highly motivated Result driven Well organized,Career Opportunities: Learning opportunities Career Development,11 Feb 2025,https://www.jobnet.com.mm/job/mande-engineer-retail-petrol-station-leading-group-of-companies/110722,3
Marketing Manager,Fobix Trading Company Limited,"Marketing, Media, Creative",Yangon,Benefits: Bonus+ Travel Allowance Professional development,Highlights:Creative and fun working environment,Career Opportunities: Learn new skills and techniques,11 Feb 2025,https://www.jobnet.com.mm/job/marketing-manager-fobix-trading-company-limited/110721,3
Call Center Officer,BRAC Myanmar MFCL,"Customer Service, Support",Yangon,Benefits: *Medical Benefit & Insurance  *Phone Bill & Sim Card  *Reward Over Performance  *13 months salary  *Sat & Sunday Off,Highlights:*University Graduates  *Fun Working environment  *You can make a difference,Career Opportunities: *Training Opportunity,11 Feb 2025,https://www.jobnet.com.mm/job/call-center-officer-brac-myanmar-mfcl/110720,3
Marketing Section Manager,Thiri Cosmetic Company Limited (Mistine),"Marketing, Media, Creative",Yangon,"Benefits: •8:30AM - 5:00PM •Sat, Sun & Public holidays Off •Ferry Provided •Yearly increment & Bonus •Medical Benefit •Social Welfare Benefit",Highlights:- Fun working environment - Make a difference,Career Opportunities: Opportunities for promotion,11 Feb 2025,https://www.jobnet.com.mm/job/marketing-section-manager-thiri-cosmetic-company-limited-mistine/110719,3
Digital Marketing Executive,Dai-ichi Life Insurance Myanmar Ltd.,"Marketing, Media, Creative",Yangon,Benefits: - Rewards on performance,Highlights:- An awesome company - Join a winning team - You can make a difference,Career Opportunities: - Opportunities for promotion - Learn new skills and techniques,11 Feb 2025,https://www.jobnet.com.mm/job/digital-marketing-executive-dai-ichi-life-insurance-myanmar-ltd/110718,3
Sales Manager,"Ichor Global Co.,Ltd","Sales, Business Development",Yangon,Benefits: Commission Paid Time Off,Highlights:Weekends off (Saturdays and Sundays) Collaborative Environment,Career Opportunities: Possibility for job training,11 Feb 2025,https://www.jobnet.com.mm/job/sales-manager-ichor-global-co-ltd/110717,3
Branch Manager,Manulife Myanmar,"Sales, Business Development",NayPyiTaw,Benefits: -Performance Bonus   -Transportation Allowance   -Mobile Benefit   -Medical Benefit-Performance Bonus   -Transportation Allowance   -Mobile,Highlights:- International Standards   - Diversity & Inclusion   - Active & warm working culture   - Join an experienced team,Career Opportunities: - International Training    - Career Development   - Multi cultural explorer,11 Feb 2025,https://www.jobnet.com.mm/job/branch-manager-manulife-myanmar/110714,3
Brand Executive,Myanmar Oasis Manufacturing,"Marketing, Media, Creative",Yangon,Benefits: •	Bonus  •	Ferry Arrange  •	Phone Bill  •	Rewards,Highlights:•	Happy Working Environment,Career Opportunities: •	Training Provided  •	Learn new skills on the job  •	Promotion opportunity •	Management potential,11 Feb 2025,https://www.jobnet.com.mm/job/brand-executive-myanmar-oasis-manufacturing/110713,3
Sales Staff,"R&P International Co.,Ltd","Sales, Business Development",Yangon,Benefits: Meal Allowance  Transportation Allowance Phone Bill,Highlights:You can make a difference,Career Opportunities: Possibility for job training,11 Feb 2025,https://www.jobnet.com.mm/job/sales-staff-randp-international-co-ltd/110380,3
Digital Marketing Executive,"R&P International Co.,Ltd","Marketing, Media, Creative",Yangon,Benefits: Meal Allowance  Transportation Allowance Phone Bill Annual Bonus,Highlights:You can make a difference,Career Opportunities: Learn new skills and techniques,11 Feb 2025,https://www.jobnet.com.mm/job/digital-marketing-executive-randp-international-co-ltd/110437,3
Sales & Marketing Executive,"Epic World Co.,Ltd","Sales, Business Development",Yangon,"Benefits: Commission, Bonus, Travel Allowance",Highlights:Fun Working Environment,Career Opportunities: Training provided,11 Feb 2025,https://www.jobnet.com.mm/job/sales-and-marketing-executive-epic-world-co-ltd/107960,3
HR Executive - Based In Myingyan,Sembcorp Myingyan Power Company Limited,"HR, Training and Recruitment",Mandalay,Benefits: Competitive Benefits,Highlights:You can make a difference,Career Opportunities: Learn new skills and techniques,11 Feb 2025,https://www.jobnet.com.mm/job/hr-executive-based-in-myingyan-sembcorp-myingyan-power-company-limited/95186,3
Senior Accountant (Production),Panda Textile Company Limited,"Finance, Accounting, Audit",Mandalay,Benefits: 1. Competitive Salary 2. Annual Bonus  3. Training & Development Program (Paid),Highlights:You can make a difference,Career Opportunities: Learn new skills and techniques,11 Feb 2025,https://www.jobnet.com.mm/job/senior-accountant-production-panda-textile-company-limited/109151,3
Chief Auditor,Panda Textile Company Limited,"Finance, Accounting, Audit",Yangon,Benefits: 1) Competitive Salary  2) Annual Bonus  3) Paid Professional Development,Highlights:An awesome company,Career Opportunities: Learn new skills and techniques,11 Feb 2025,https://www.jobnet.com.mm/job/chief-auditor-panda-textile-company-limited/109344,3
Chief Operating Officer,Panda Textile Company Limited,"Manufacturing, Factory",Yangon,Benefits: 1) Attractive Salary 2) Production Incentive 3) Annual Bonus  4) Professional Development Program,Highlights:You can make a difference,Career Opportunities: Possibility for job training,11 Feb 2025,https://www.jobnet.com.mm/job/chief-operating-officer-panda-textile-company-limited/110508,3
